Country,Region,Urban,Origin,Year1,Year2,Age,AgeInt,AgeDef,Vitality,   ASFR,   CPFR,Collection,SourceType,   RefCode,Note,Split
    EST,     .,    .,     ., 1970, 1970, 14,   -99,   ACY,       1,0.00000,0.00000,       ODE,  estimate,    EST_01,   .,    2
    EST,     .,    .,     ., 1970, 1970, 15,     1,   ACY,       1,0.00002,0.00000,       ODE,  estimate,    EST_01,   .,    2
    EST,     .,    .,     ., 1970, 1970, 16,     1,   ACY,       1,0.00136,0.00002,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1970, 1970, 17,     1,   ACY,       1,0.01412,0.00138,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1970, 1970, 18,     1,   ACY,       1,0.04991,0.01550,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1970, 1970, 19,     1,   ACY,       1,0.09738,0.06541,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1970, 1970, 20,     1,   ACY,       1,0.13666,0.16279,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1970, 1970, 21,     1,   ACY,       1,0.15967,0.29945,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1970, 1970, 22,     1,   ACY,       1,0.16845,0.45912,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1970, 1970, 23,     1,   ACY,       1,0.16782,0.62757,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1970, 1970, 24,     1,   ACY,       1,0.16180,0.79539,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1970, 1970, 25,     1,   ACY,       1,0.15289,0.95719,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1970, 1970, 26,     1,   ACY,       1,0.14243,1.11008,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1970, 1970, 27,     1,   ACY,       1,0.13112,1.25251,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1970, 1970, 28,     1,   ACY,       1,0.11933,1.38363,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1970, 1970, 29,     1,   ACY,       1,0.10733,1.50296,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1970, 1970, 30,     1,   ACY,       1,0.09536,1.61029,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1970, 1970, 31,     1,   ACY,       1,0.08368,1.70565,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1970, 1970, 32,     1,   ACY,       1,0.07250,1.78933,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1970, 1970, 33,     1,   ACY,       1,0.06201,1.86183,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1970, 1970, 34,     1,   ACY,       1,0.05236,1.92384,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1970, 1970, 35,     1,   ACY,       1,0.04360,1.97620,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1970, 1970, 36,     1,   ACY,       1,0.03577,2.01980,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1970, 1970, 37,     1,   ACY,       1,0.02885,2.05557,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1970, 1970, 38,     1,   ACY,       1,0.02280,2.08442,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1970, 1970, 39,     1,   ACY,       1,0.01758,2.10722,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1970, 1970, 40,     1,   ACY,       1,0.01315,2.12480,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1970, 1970, 41,     1,   ACY,       1,0.00946,2.13795,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1970, 1970, 42,     1,   ACY,       1,0.00649,2.14741,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1970, 1970, 43,     1,   ACY,       1,0.00421,2.15390,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1970, 1970, 44,     1,   ACY,       1,0.00254,2.15811,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1970, 1970, 45,     1,   ACY,       1,0.00141,2.16065,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1970, 1970, 46,     1,   ACY,       1,0.00070,2.16206,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1970, 1970, 47,     1,   ACY,       1,0.00031,2.16276,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1970, 1970, 48,     1,   ACY,       1,0.00012,2.16307,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1970, 1970, 49,     1,   ACY,       1,0.00004,2.16319,       ODE,  estimate,    EST_01,   .,    2
    EST,     .,    .,     ., 1970, 1970, 50,    99,   ACY,       1,0.00001,2.16323,       ODE,  estimate,    EST_01,   .,    2
    EST,     .,    .,     ., 1971, 1971, 14,   -99,   ACY,       1,0.00002,0.00000,       ODE,  estimate,    EST_01,   .,    2
    EST,     .,    .,     ., 1971, 1971, 15,     1,   ACY,       1,0.00033,0.00002,       ODE,  estimate,    EST_01,   .,    2
    EST,     .,    .,     ., 1971, 1971, 16,     1,   ACY,       1,0.00404,0.00035,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1971, 1971, 17,     1,   ACY,       1,0.01941,0.00439,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1971, 1971, 18,     1,   ACY,       1,0.05188,0.02380,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1971, 1971, 19,     1,   ACY,       1,0.09453,0.07568,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1971, 1971, 20,     1,   ACY,       1,0.13404,0.17021,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1971, 1971, 21,     1,   ACY,       1,0.16123,0.30425,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1971, 1971, 22,     1,   ACY,       1,0.17406,0.46548,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1971, 1971, 23,     1,   ACY,       1,0.17507,0.63954,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1971, 1971, 24,     1,   ACY,       1,0.16816,0.81461,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1971, 1971, 25,     1,   ACY,       1,0.15683,0.98277,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1971, 1971, 26,     1,   ACY,       1,0.14356,1.13960,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1971, 1971, 27,     1,   ACY,       1,0.12988,1.28316,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1971, 1971, 28,     1,   ACY,       1,0.11661,1.41304,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1971, 1971, 29,     1,   ACY,       1,0.10408,1.52965,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1971, 1971, 30,     1,   ACY,       1,0.09240,1.63373,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1971, 1971, 31,     1,   ACY,       1,0.08151,1.72613,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1971, 1971, 32,     1,   ACY,       1,0.07133,1.80764,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1971, 1971, 33,     1,   ACY,       1,0.06179,1.87897,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1971, 1971, 34,     1,   ACY,       1,0.05284,1.94076,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1971, 1971, 35,     1,   ACY,       1,0.04448,1.99360,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1971, 1971, 36,     1,   ACY,       1,0.03677,2.03808,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1971, 1971, 37,     1,   ACY,       1,0.02975,2.07485,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1971, 1971, 38,     1,   ACY,       1,0.02351,2.10460,       ODE,  estimate,    EST_01,   .,    0
    EST,     .,    .,     ., 1971, 1971, 39,     1,   ACY,       1,0.01809,2.12811,       ODE,  estimate,    EST_01,   .,    0
