Country,Region,Urban,Origin,Year1,Year2,AgeDef,Vitality,  TFR,  MAB,Collection,SourceType,   RefCode,Note,Split
    EST,     .,    .,     ., 1970, 1970,   ACY,       1,2.163,26.71,       ODE,  estimate,    EST_01,   .,    2
    EST,     .,    .,     ., 1971, 1971,   ACY,       1,2.188,26.68,       ODE,  estimate,    EST_01,   .,    2
    EST,     .,    .,     ., 1972, 1972,   ACY,       1,2.137,26.66,       ODE,  estimate,    EST_01,   .,    2
    EST,     .,    .,     ., 1973, 1973,   ACY,       1,2.070,26.58,       ODE,  estimate,    EST_01,   .,    2
    EST,     .,    .,     ., 1974, 1974,   ACY,       1,2.074,26.39,       ODE,  estimate,    EST_01,   .,    2
    EST,     .,    .,     ., 1975, 1975,   ACY,       1,2.040,26.24,       ODE,  estimate,    EST_01,   .,    2
    EST,     .,    .,     ., 1976, 1976,   ACY,       1,2.062,26.15,       ODE,  estimate,    EST_01,   .,    2
    EST,     .,    .,     ., 1977, 1977,   ACY,       1,2.063,26.10,       ODE,  estimate,    EST_01,   .,    2
    EST,     .,    .,     ., 1978, 1978,   ACY,       1,2.025,25.98,       ODE,  estimate,    EST_01,   .,    2
    EST,     .,    .,     ., 1979, 1979,   ACY,       1,2.010,25.88,       ODE,  estimate,    EST_01,   .,    2
    EST,     .,    .,     ., 1980, 1980,   ACY,       1,2.023,25.67,       ODE,  estimate,    EST_01,   .,    2
    EST,     .,    .,     ., 1981, 1981,   ACY,       1,2.074,25.76,       ODE,  estimate,    EST_01,   .,    2
    EST,     .,    .,     ., 1982, 1982,   ACY,       1,2.083,25.93,       ODE,  estimate,    EST_01,   .,    2
    EST,     .,    .,     ., 1983, 1983,   ACY,       1,2.165,25.97,       ODE,  estimate,    EST_01,   .,    2
    EST,     .,    .,     ., 1984, 1984,   ACY,       1,2.173,25.83,       ODE,  estimate,    EST_01,   .,    2
    EST,     .,    .,     ., 1985, 1985,   ACY,       1,2.120,25.86,       ODE,  estimate,    EST_01,   .,    2
