Last modified: 25/02/2021
Year    Age        ASFR
2019     12-    0.00000
2019     13     0.00015
2019     14     0.00015
2019     15     0.00094
2019     16     0.00360
2019     17     0.00502
2019     18     0.01309
2019     19     0.02077
2019     20     0.02790
2019     21     0.03411
2019     22     0.04516
2019     23     0.05426
2019     24     0.06861
2019     25     0.07713
2019     26     0.09056
2019     27     0.10663
2019     28     0.11506
2019     29     0.11569
2019     30     0.11463
2019     31     0.10929
2019     32     0.09714
2019     33     0.09604
2019     34     0.08879
2019     35     0.07688
2019     36     0.06726
2019     37     0.06052
2019     38     0.04923
2019     39     0.03781
2019     40     0.02981
2019     41     0.02337
2019     42     0.01323
2019     43     0.00763
2019     44     0.00506
2019     45     0.00293
2019     46     0.00124
2019     47     0.00087
2019     48     0.00022
2019     49     0.00011
2019     50     0.00034
2019     51     0.00012
2019     52     0.00000
2019     53     0.00000
2019     54     0.00000
2019     55+    0.00000
