Estonia, Period fertility rates by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 25/02/2021
Year    Age        ASFR
1959     12-    0.00000
1959     13     0.00000
1959     14     0.00014
1959     15     0.00014
1959     16     0.00145
1959     17     0.01140
1959     18     0.02460
1959     19     0.05761
1959     20     0.09170
1959     21     0.11476
1959     22     0.13347
1959     23     0.13983
1959     24     0.13335
1959     25     0.13549
1959     26     0.13205
1959     27     0.11716
1959     28     0.11539
1959     29     0.09951
1959     30     0.08987
1959     31     0.07579
1959     32     0.07396
1959     33     0.06657
1959     34     0.06064
1959     35     0.05270
1959     36     0.04396
1959     37     0.04321
1959     38     0.03728
1959     39     0.02804
1959     40     0.02504
1959     41     0.01443
1959     42     0.01139
1959     43     0.00735
1959     44     0.00484
1959     45     0.00200
1959     46     0.00141
1959     47     0.00055
1959     48     0.00000
1959     49     0.00011
1959     50     0.00000
1959     51     0.00000
1959     52     0.00011
1959     53     0.00000
1959     54     0.00000
1959     55+    0.00000
1960     12-    0.00000
1960     13     0.00000
1960     14     0.00000
1960     15     0.00042
1960     16     0.00171
1960     17     0.00866
1960     18     0.02991
1960     19     0.06001
1960     20     0.10073
1960     21     0.11563
1960     22     0.13206
1960     23     0.14195
1960     24     0.14368
1960     25     0.14166
1960     26     0.12388
1960     27     0.12006
1960     28     0.11193
1960     29     0.10185
1960     30     0.09486
1960     31     0.08245
1960     32     0.07313
1960     33     0.06305
1960     34     0.05876
1960     35     0.05462
1960     36     0.04205
1960     37     0.03952
1960     38     0.03636
1960     39     0.02813
1960     40     0.02354
1960     41     0.01809
1960     42     0.00920
1960     43     0.00863
1960     44     0.00362
1960     45     0.00242
1960     46     0.00111
1960     47     0.00055
1960     48     0.00011
1960     49     0.00032
1960     50     0.00000
1960     51     0.00000
1960     52     0.00000
1960     53     0.00000
1960     54     0.00000
1960     55+    0.00000
1961     12-    0.00000
1961     13     0.00000
1961     14     0.00011
1961     15     0.00038
1961     16     0.00208
1961     17     0.01067
1961     18     0.02718
1961     19     0.06739
1961     20     0.09798
1961     21     0.12171
1961     22     0.13776
1961     23     0.14588
1961     24     0.14871
1961     25     0.14284
1961     26     0.13061
1961     27     0.12064
1961     28     0.11220
1961     29     0.10018
1961     30     0.09409
1961     31     0.07923
1961     32     0.07155
1961     33     0.06820
1961     34     0.05097
1961     35     0.05116
1961     36     0.04535
1961     37     0.03766
1961     38     0.03262
1961     39     0.02681
1961     40     0.01866
1961     41     0.01352
1961     42     0.01116
1961     43     0.00725
1961     44     0.00392
1961     45     0.00210
1961     46     0.00109
1961     47     0.00011
1961     48     0.00033
1961     49     0.00011
1961     50     0.00011
1961     51     0.00000
1961     52     0.00000
1961     53     0.00000
1961     54     0.00000
1961     55+    0.00000
1962     12-    0.00000
1962     13     0.00000
1962     14     0.00000
1962     15     0.00033
1962     16     0.00384
1962     17     0.01178
1962     18     0.03357
1962     19     0.05962
1962     20     0.10367
1962     21     0.12040
1962     22     0.14411
1962     23     0.14615
1962     24     0.14835
1962     25     0.13938
1962     26     0.13283
1962     27     0.12120
1962     28     0.10694
1962     29     0.09478
1962     30     0.09188
1962     31     0.08457
1962     32     0.06858
1962     33     0.06237
1962     34     0.05525
1962     35     0.04624
1962     36     0.04058
1962     37     0.03647
1962     38     0.02757
1962     39     0.02492
1962     40     0.02105
1962     41     0.01363
1962     42     0.01062
1962     43     0.00667
1962     44     0.00348
1962     45     0.00278
1962     46     0.00042
1962     47     0.00060
1962     48     0.00011
1962     49     0.00011
1962     50     0.00000
1962     51     0.00011
1962     52     0.00000
1962     53     0.00000
1962     54     0.00011
1962     55+    0.00000
1963     12-    0.00000
1963     13     0.00000
1963     14     0.00000
1963     15     0.00022
1963     16     0.00392
1963     17     0.00981
1963     18     0.03363
1963     19     0.06541
1963     20     0.08857
1963     21     0.12511
1963     22     0.13582
1963     23     0.14217
1963     24     0.13891
1963     25     0.13711
1963     26     0.13117
1963     27     0.12209
1963     28     0.11076
1963     29     0.09356
1963     30     0.08906
1963     31     0.07475
1963     32     0.07419
1963     33     0.06191
1963     34     0.05312
1963     35     0.04686
1963     36     0.03843
1963     37     0.03320
1963     38     0.02558
1963     39     0.02253
1963     40     0.01776
1963     41     0.01352
1963     42     0.00881
1963     43     0.00652
1963     44     0.00286
1963     45     0.00273
1963     46     0.00065
1963     47     0.00056
1963     48     0.00012
1963     49     0.00011
1963     50     0.00011
1963     51     0.00011
1963     52     0.00000
1963     53     0.00000
1963     54     0.00000
1963     55+    0.00000
1964     12-    0.00000
1964     13     0.00000
1964     14     0.00011
1964     15     0.00030
1964     16     0.00205
1964     17     0.01013
1964     18     0.03623
1964     19     0.07019
1964     20     0.10211
1964     21     0.12350
1964     22     0.14622
1964     23     0.14823
1964     24     0.14590
1964     25     0.14522
1964     26     0.13172
1964     27     0.11796
1964     28     0.11177
1964     29     0.10420
1964     30     0.08832
1964     31     0.08302
1964     32     0.07060
1964     33     0.06198
1964     34     0.05138
1964     35     0.04387
1964     36     0.04005
1964     37     0.03473
1964     38     0.02707
1964     39     0.02235
1964     40     0.01620
1964     41     0.01247
1964     42     0.00889
1964     43     0.00663
1964     44     0.00374
1964     45     0.00164
1964     46     0.00061
1964     47     0.00000
1964     48     0.00014
1964     49     0.00012
1964     50     0.00000
1964     51     0.00000
1964     52     0.00000
1964     53     0.00011
1964     54     0.00000
1964     55+    0.00000
1965     12-    0.00000
1965     13     0.00000
1965     14     0.00000
1965     15     0.00043
1965     16     0.00199
1965     17     0.00889
1965     18     0.03914
1965     19     0.07094
1965     20     0.10267
1965     21     0.12547
1965     22     0.12754
1965     23     0.15081
1965     24     0.14893
1965     25     0.13928
1965     26     0.12768
1965     27     0.12127
1965     28     0.10548
1965     29     0.09678
1965     30     0.08391
1965     31     0.07805
1965     32     0.06982
1965     33     0.06042
1965     34     0.05052
1965     35     0.04389
1965     36     0.03572
1965     37     0.02938
1965     38     0.02496
1965     39     0.02144
1965     40     0.01710
1965     41     0.01087
1965     42     0.00811
1965     43     0.00548
1965     44     0.00479
1965     45     0.00147
1965     46     0.00096
1965     47     0.00030
1965     48     0.00000
1965     49     0.00014
1965     50     0.00000
1965     51     0.00000
1965     52     0.00000
1965     53     0.00000
1965     54     0.00000
1965     55+    0.00000
1966     12-    0.00000
1966     13     0.00000
1966     14     0.00000
1966     15     0.00064
1966     16     0.00275
1966     17     0.01096
1966     18     0.03118
1966     19     0.07271
1966     20     0.10512
1966     21     0.12304
1966     22     0.13678
1966     23     0.13393
1966     24     0.14885
1966     25     0.13291
1966     26     0.12650
1966     27     0.11392
1966     28     0.10627
1966     29     0.09896
1966     30     0.09212
1966     31     0.08100
1966     32     0.06399
1966     33     0.06167
1966     34     0.05393
1966     35     0.04309
1966     36     0.03591
1966     37     0.02949
1966     38     0.02335
1966     39     0.01977
1966     40     0.01625
1966     41     0.01121
1966     42     0.00756
1966     43     0.00631
1966     44     0.00383
1966     45     0.00223
1966     46     0.00107
1966     47     0.00041
1966     48     0.00000
1966     49     0.00000
1966     50     0.00000
1966     51     0.00000
1966     52     0.00011
1966     53     0.00000
1966     54     0.00000
1966     55+    0.00000
1967     12-    0.00000
1967     13     0.00000
1967     14     0.00000
1967     15     0.00042
1967     16     0.00232
1967     17     0.01426
1967     18     0.03044
1967     19     0.06650
1967     20     0.11741
1967     21     0.12819
1967     22     0.14328
1967     23     0.14796
1967     24     0.13009
1967     25     0.14785
1967     26     0.12717
1967     27     0.11786
1967     28     0.10972
1967     29     0.09593
1967     30     0.08743
1967     31     0.08081
1967     32     0.06955
1967     33     0.05481
1967     34     0.04948
1967     35     0.04063
1967     36     0.03797
1967     37     0.02771
1967     38     0.02144
1967     39     0.01768
1967     40     0.01637
1967     41     0.01076
1967     42     0.00661
1967     43     0.00397
1967     44     0.00211
1967     45     0.00259
1967     46     0.00094
1967     47     0.00040
1967     48     0.00027
1967     49     0.00000
1967     50     0.00000
1967     51     0.00000
1967     52     0.00000
1967     53     0.00000
1967     54     0.00000
1967     55+    0.00000
1968     12-    0.00000
1968     13     0.00000
1968     14     0.00032
1968     15     0.00042
1968     16     0.00375
1968     17     0.00996
1968     18     0.03963
1968     19     0.08113
1968     20     0.11660
1968     21     0.14417
1968     22     0.15063
1968     23     0.15435
1968     24     0.15361
1968     25     0.14800
1968     26     0.14362
1968     27     0.12100
1968     28     0.11262
1968     29     0.10136
1968     30     0.08662
1968     31     0.08035
1968     32     0.06967
1968     33     0.06460
1968     34     0.05494
1968     35     0.04455
1968     36     0.03567
1968     37     0.02658
1968     38     0.02368
1968     39     0.01695
1968     40     0.01437
1968     41     0.00889
1968     42     0.00661
1968     43     0.00487
1968     44     0.00287
1968     45     0.00183
1968     46     0.00073
1968     47     0.00012
1968     48     0.00014
1968     49     0.00000
1968     50     0.00000
1968     51     0.00000
1968     52     0.00000
1968     53     0.00000
1968     54     0.00000
1968     55+    0.00000
1969     12-    0.00000
1969     13     0.00000
1969     14     0.00000
1969     15     0.00032
1969     16     0.00232
1969     17     0.01278
1969     18     0.03941
1969     19     0.08269
1969     20     0.13328
1969     21     0.15173
1969     22     0.16979
1969     23     0.16057
1969     24     0.15420
1969     25     0.16271
1969     26     0.13758
1969     27     0.13572
1969     28     0.11412
1969     29     0.10775
1969     30     0.09758
1969     31     0.08293
1969     32     0.06709
1969     33     0.06557
1969     34     0.05519
1969     35     0.04556
1969     36     0.03483
1969     37     0.03056
1969     38     0.02434
1969     39     0.01731
1969     40     0.01479
