Last modified...  
Year Age ASFR
2023 12- 0.0
2023 13 0.0
2023 14 0.0
2023 15 0.00111
2023 16 0.00239
2023 17 0.00383
2023 18 0.00571
2023 19 0.00979
2023 20 0.0163
2023 21 0.02461
2023 22 0.03439
2023 23 0.04468
2023 24 0.05499
2023 25 0.06409
2023 26 0.07181
2023 27 0.07858
2023 28 0.08419
2023 29 0.08738
2023 30 0.08783
2023 31 0.08543
2023 32 0.08052
2023 33 0.07463
2023 34 0.06811
2023 35 0.06093
2023 36 0.05325
2023 37 0.04597
2023 38 0.03921
2023 39 0.03274
2023 40 0.02658
2023 41 0.02107
2023 42 0.01625
2023 43 0.01202
2023 44 0.0084
2023 45 0.00543
2023 46 0.00313
2023 47 0.00152
2023 48 0.00055
2023 49 0.00009
2023 50 0.0
2023 51 0.0
2023 52 0.0
2023 53 0.0
2023 54 0.0
2023 55+ 0.0
