Estonia, Standard deviation in period mean ages at birth and standard deviation in period mean ages at birth by age 40
Last modified: 25/02/2021
Year      sdMAB    sdMAB40
1959       5.85       5.29
1960       5.84       5.27
1961       5.74       5.23
1962       5.73       5.19
1963       5.67       5.16
1964       5.62       5.15
1965       5.61       5.12
1966       5.62       5.12
1967       5.52       5.07
1968       5.46       5.06
1969       5.42       5.04
1970       5.43       5.07
1971       5.42       5.08
1972       5.45       5.12
1973       5.44       5.08
1974       5.43       5.07
1975       5.38       5.02
1976       5.36       5.03
1977       5.35       5.03
1978       5.36       5.03
1979       5.33       5.02
1980       5.26       4.94
1981       5.24       4.95
1982       5.26       4.96
1983       5.21       4.91
1984       5.21       4.95
1985       5.23       4.96
1986       5.28       5.00
1987       5.25       4.99
1988       5.30       5.01
1989       5.32       5.09
1990       5.42       5.14
1991       5.40       5.13
1992       5.42       5.14
1993       5.35       5.08
1994       5.32       5.06
1995       5.34       5.08
1996       5.42       5.14
1997       5.48       5.16
1998       5.50       5.20
1999       5.54       5.23
2000       5.62       5.29
2001       5.62       5.33
2002       5.64       5.34
2003       5.64       5.35
2004       5.65       5.36
2005       5.68       5.38
2006       5.70       5.38
2007       5.77       5.43
2008       5.78       5.42
2009       5.74       5.37
2010       5.63       5.26
2011       5.68       5.30
2012       5.77       5.33
2013       5.81       5.43
2014       5.81       5.37
2015       5.76       5.29
2016       5.66       5.17
2017       5.68       5.15
2018       5.63       5.10
2019       5.62       5.08
