Estonia, Life tables (period 1x1), Females	Last modified: 21 Jan 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  2019           0      0.00087  0.00087  0.15  100000      87   99926  8273542  82.74
  2019           1      0.00014  0.00014  0.50   99913      14   99906  8173616  81.81
  2019           2      0.00015  0.00015  0.50   99899      15   99891  8073710  80.82
  2019           3      0.00014  0.00014  0.50   99884      14   99877  7973819  79.83
  2019           4      0.00000  0.00000  0.50   99869       0   99869  7873942  78.84
  2019           5      0.00015  0.00015  0.50   99869      15   99862  7774073  77.84
  2019           6      0.00043  0.00043  0.50   99855      43   99833  7674211  76.85
  2019           7      0.00014  0.00014  0.50   99812      14   99805  7574378  75.89
  2019           8      0.00000  0.00000  0.50   99798       0   99798  7474573  74.90
  2019           9      0.00013  0.00013  0.50   99798      13   99791  7374775  73.90
  2019          10      0.00000  0.00000  0.50   99784       0   99784  7274984  72.91
  2019          11      0.00000  0.00000  0.50   99784       0   99784  7175200  71.91
  2019          12      0.00000  0.00000  0.50   99784       0   99784  7075415  70.91
  2019          13      0.00015  0.00015  0.50   99784      15   99777  6975631  69.91
  2019          14      0.00030  0.00030  0.50   99770      30   99755  6875854  68.92
  2019          15      0.00016  0.00016  0.50   99739      16   99732  6776099  67.94
  2019          16      0.00033  0.00033  0.50   99724      33   99708  6676368  66.95
  2019          17      0.00000  0.00000  0.50   99691       0   99691  6576660  65.97
  2019          18      0.00034  0.00034  0.50   99691      34   99674  6476969  64.97
  2019          19      0.00051  0.00051  0.50   99657      50   99632  6377295  63.99
  2019          20      0.00017  0.00017  0.50   99607      17   99598  6277662  63.02
  2019          21      0.00017  0.00017  0.50   99590      17   99581  6178064  62.04
  2019          22      0.00048  0.00048  0.50   99573      47   99549  6078483  61.05
  2019          23      0.00031  0.00031  0.50   99525      31   99510  5978934  60.07
  2019          24      0.00045  0.00045  0.50   99495      45   99472  5879424  59.09
  2019          25      0.00000  0.00000  0.50   99450       0   99450  5779952  58.12
  2019          26      0.00013  0.00013  0.50   99450      13   99443  5680502  57.12
  2019          27      0.00100  0.00099  0.50   99436      99   99387  5581059  56.13
  2019          28      0.00023  0.00023  0.50   99338      23   99326  5481672  55.18
  2019          29      0.00063  0.00063  0.50   99314      63   99283  5382346  54.19
  2019          30      0.00062  0.00062  0.50   99252      62   99221  5283063  53.23
  2019          31      0.00051  0.00051  0.50   99190      51   99165  5183842  52.26
  2019          32      0.00063  0.00063  0.50   99139      62   99108  5084677  51.29
  2019          33      0.00076  0.00076  0.50   99077      75   99040  4985569  50.32
  2019          34      0.00074  0.00074  0.50   99002      74   98965  4886529  49.36
  2019          35      0.00085  0.00085  0.50   98929      84   98886  4787564  48.39
  2019          36      0.00032  0.00032  0.50   98844      32   98828  4688677  47.44
  2019          37      0.00078  0.00078  0.50   98812      77   98774  4589849  46.45
  2019          38      0.00101  0.00101  0.50   98735     100   98685  4491076  45.49
