Estonia, Life tables (period 1x1), Total	Last modified: 26 Sep 2025;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  2024           0      0.00134  0.00134  0.15  100000     134   99886  7944012  79.44
  2024           1      0.00009  0.00009  0.50   99866       9   99862  7844126  78.55
  2024           2      0.00023  0.00023  0.50   99857      23   99846  7744264  77.55
  2024           3      0.00007  0.00007  0.50   99834       7   99831  7644419  76.57
  2024           4      0.00014  0.00014  0.50   99827      14   99821  7544588  75.58
  2024           5      0.00007  0.00007  0.50   99814       7   99810  7444767  74.59
  2024           6      0.00020  0.00020  0.50   99807      20   99797  7344957  73.59
  2024           7      0.00000  0.00000  0.50   99787       0   99787  7245159  72.61
  2024           8      0.00019  0.00019  0.50   99787      19   99778  7145372  71.61
  2024           9      0.00013  0.00013  0.50   99768      13   99761  7045594  70.62
  2024          10      0.00000  0.00000  0.50   99755       0   99755  6945833  69.63
  2024          11      0.00020  0.00020  0.50   99755      20   99745  6846078  68.63
  2024          12      0.00020  0.00020  0.50   99735      20   99725  6746333  67.64
  2024          13      0.00006  0.00006  0.50   99716       6   99712  6646608  66.66
  2024          14      0.00018  0.00018  0.50   99709      18   99700  6546895  65.66
  2024          15      0.00043  0.00043  0.50   99691      43   99670  6447195  64.67
  2024          16      0.00012  0.00012  0.50   99649      12   99642  6347525  63.70
  2024          17      0.00065  0.00065  0.50   99636      64   99604  6247883  62.71
  2024          18      0.00060  0.00060  0.50   99572      60   99542  6148279  61.75
  2024          19      0.00034  0.00034  0.50   99512      34   99495  6048737  60.78
  2024          20      0.00065  0.00065  0.50   99478      65   99446  5949242  59.80
  2024          21      0.00045  0.00045  0.50   99413      45   99391  5849796  58.84
  2024          22      0.00045  0.00045  0.50   99369      45   99346  5750405  57.87
  2024          23      0.00060  0.00060  0.50   99324      59   99294  5651059  56.90
  2024          24      0.00052  0.00052  0.50   99264      52   99238  5551765  55.93
  2024          25      0.00008  0.00008  0.50   99213       8   99209  5452526  54.96
  2024          26      0.00062  0.00062  0.50   99205      61   99174  5353318  53.96
  2024          27      0.00044  0.00044  0.50   99144      43   99122  5254143  53.00
  2024          28      0.00056  0.00056  0.50   99100      56   99073  5155021  52.02
  2024          29      0.00014  0.00014  0.50   99045      14   99038  5055948  51.05
  2024          30      0.00079  0.00079  0.50   99031      78   98992  4956910  50.05
  2024          31      0.00117  0.00117  0.50   98953     115   98895  4857918  49.09
  2024          32      0.00099  0.00099  0.50   98838      97   98789  4759023  48.15
  2024          33      0.00117  0.00117  0.50   98740     115   98682  4660234  47.20
  2024          34      0.00101  0.00101  0.50   98625     100   98575  4561551  46.25
  2024          35      0.00109  0.00109  0.50   98525     107   98471  4462977  45.30
  2024          36      0.00112  0.00112  0.50   98418     110   98363  4364506  44.35
  2024          37      0.00133  0.00133  0.50   98308     130   98242  4266143  43.40
  2024          38      0.00152  0.00152  0.50   98177     149   98103  4167901  42.45
  2024          39      0.00157  0.00157  0.50   98028     153   97951  4069798  41.52
  2024          40      0.00172  0.00172  0.50   97875     168   97790  3971847  40.58
  2024          41      0.00196  0.00195  0.50   97706     191   97611  3874056  39.65
  2024          42      0.00188  0.00188  0.50   97515     183   97424  3776446  38.73
  2024          43      0.00231  0.00231  0.50   97332     225   97220  3679022  37.80
  2024          44      0.00268  0.00267  0.50   97108     260   96978  3581802  36.88
  2024          45      0.00249  0.00249  0.50   96848     241   96728  3484824  35.98
  2024          46      0.00286  0.00286  0.50   96607     276   96469  3388096  35.07
  2024          47      0.00291  0.00291  0.50   96331     280   96191  3291627  34.17
  2024          48      0.00292  0.00292  0.50   96051     280   95911  3195436  33.27
  2024          49      0.00450  0.00449  0.50   95771     430   95556  3099525  32.36
  2024          50      0.00437  0.00436  0.50   95341     415   95133  3003969  31.51
  2024          51      0.00361  0.00360  0.50   94925     342   94754  2908836  30.64
  2024          52      0.00541  0.00540  0.50   94583     511   94328  2814082  29.75
  2024          53      0.00432  0.00431  0.50   94072     406   93870  2719755  28.91
  2024          54      0.00493  0.00492  0.50   93667     461   93436  2625885  28.03
  2024          55      0.00642  0.00640  0.50   93206     596   92908  2532449  27.17
  2024          56      0.00651  0.00649  0.50   92610     601   92309  2439541  26.34
  2024          57      0.00640  0.00638  0.50   92009     587   91715  2347232  25.51
  2024          58      0.00700  0.00698  0.50   91422     638   91103  2255516  24.67
  2024          59      0.00791  0.00788  0.50   90784     715   90427  2164413  23.84
  2024          60      0.01054  0.01049  0.50   90069     945   89597  2073986  23.03
  2024          61      0.00863  0.00859  0.50   89125     766   88742  1984389  22.27
  2024          62      0.01121  0.01114  0.50   88359     985   87866  1895648  21.45
  2024          63      0.01308  0.01300  0.50   87374    1136   86806  1807781  20.69
  2024          64      0.01392  0.01382  0.50   86238    1192   85642  1720975  19.96
  2024          65      0.01314  0.01305  0.50   85046    1110   84491  1635333  19.23
  2024          66      0.01483  0.01472  0.50   83936    1236   83318  1550841  18.48
  2024          67      0.01699  0.01685  0.50   82701    1394   82004  1467523  17.75
  2024          68      0.01784  0.01768  0.50   81307    1438   80588  1385519  17.04
  2024          69      0.01916  0.01898  0.50   79869    1516   79111  1304931  16.34
  2024          70      0.02122  0.02100  0.50   78354    1645   77531  1225820  15.64
  2024          71      0.02029  0.02009  0.50   76708    1541   75938  1148289  14.97
  2024          72      0.02341  0.02314  0.50   75167    1739   74298  1072351  14.27
  2024          73      0.02320  0.02293  0.50   73428    1684   72586   998053  13.59
  2024          74      0.02842  0.02803  0.50   71744    2011   70739   925467  12.90
  2024          75      0.03465  0.03406  0.50   69733    2375   68546   854728  12.26
  2024          76      0.03236  0.03184  0.50   67359    2145   66286   786182  11.67
  2024          77      0.03942  0.03866  0.50   65214    2521   63953   719896  11.04
  2024          78      0.03856  0.03783  0.50   62693    2372   61507   655943  10.46
  2024          79      0.04344  0.04252  0.50   60321    2565   59039   594436   9.85
  2024          80      0.05138  0.05010  0.50   57756    2893   56310   535397   9.27
  2024          81      0.04969  0.04849  0.50   54863    2660   53533   479088   8.73
  2024          82      0.06418  0.06218  0.50   52203    3246   50580   425555   8.15
  2024          83      0.06143  0.05960  0.50   48957    2918   47498   374975   7.66
  2024          84      0.07277  0.07021  0.50   46039    3233   44423   327477   7.11
  2024          85      0.08263  0.07935  0.50   42807    3397   41108   283054   6.61
  2024          86      0.09257  0.08848  0.50   39410    3487   37666   241946   6.14
  2024          87      0.10377  0.09865  0.50   35923    3544   34151   204280   5.69
  2024          88      0.11516  0.10889  0.50   32379    3526   30616   170129   5.25
  2024          89      0.14086  0.13159  0.50   28853    3797   26955   139513   4.84
  2024          90      0.15124  0.14061  0.50   25056    3523   23295   112558   4.49
  2024          91      0.16220  0.15003  0.50   21533    3231   19918    89263   4.15
  2024          92      0.19440  0.17718  0.50   18303    3243   16681    69345   3.79
  2024          93      0.21762  0.19627  0.50   15060    2956   13582    52663   3.50
  2024          94      0.24296  0.21664  0.50   12104    2622   10793    39081   3.23
  2024          95      0.27040  0.23820  0.50    9482    2259    8353    28288   2.98
  2024          96      0.29989  0.26079  0.50    7223    1884    6281    19936   2.76
  2024          97      0.33132  0.28423  0.50    5340    1518    4581    13654   2.56
  2024          98      0.36449  0.30830  0.50    3822    1178    3233     9074   2.37
  2024          99      0.39916  0.33275  0.50    2644     880    2204     5841   2.21
  2024         100      0.43503  0.35731  0.50    1764     630    1449     3637   2.06
  2024         101      0.47172  0.38169  0.50    1134     433     917     2188   1.93
  2024         102      0.50885  0.40564  0.50     701     284     559     1271   1.81
  2024         103      0.54599  0.42890  0.50     417     179     327      712   1.71
  2024         104      0.58272  0.45125  0.50     238     107     184      385   1.62
  2024         105      0.61865  0.47249  0.50     131      62     100      201   1.54
  2024         106      0.65339  0.49249  0.50      69      34      52      101   1.47
  2024         107      0.68663  0.51114  0.50      35      18      26       49   1.41
  2024         108      0.71810  0.52839  0.50      17       9      13       23   1.36
  2024         109      0.74762  0.54420  0.50       8       4       6       11   1.32
  2024         110+     0.77505  1.00000  1.29       4       4       5        5   1.29
