Estonia, Population size (abridged)	Last modified: 21 Jan 2021;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  2019           0              7039.00         7356.00        14395.00
  2019           1              6655.00         7236.00        13891.00
  2019           2              6785.00         7456.00        14241.00
  2019           3              6914.00         7363.00        14277.00
  2019           4              6836.00         7095.00        13931.00
  2019           5              6860.00         7102.00        13962.00
  2019           6              6940.00         7295.00        14235.00
  2019           7              7141.00         7602.00        14743.00
  2019           8              7645.00         8104.00        15749.00
  2019           9              7635.00         7852.00        15487.00
  2019          10              7630.00         8043.00        15673.00
  2019          11              7436.00         7821.00        15257.00
  2019          12              6928.00         7463.00        14391.00
  2019          13              6627.00         7217.00        13844.00
  2019          14              6533.00         6814.00        13347.00
  2019          15              6176.00         6344.00        12520.00
  2019          16              6125.00         6299.00        12424.00
  2019          17              5840.00         6238.00        12078.00
  2019          18              5942.00         6464.00        12406.00
  2019          19              5800.00         5999.00        11799.00
  2019          20              5714.00         5997.00        11711.00
  2019          21              6023.00         6387.00        12410.00
  2019          22              6525.00         6794.00        13319.00
  2019          23              6523.00         6797.00        13320.00
  2019          24              6858.00         7074.00        13932.00
  2019          25              7006.00         7692.00        14698.00
  2019          26              8062.00         8709.00        16771.00
  2019          27              8162.00         8935.00        17097.00
  2019          28              9066.00        10165.00        19231.00
  2019          29              9629.00        10707.00        20336.00
  2019          30              9796.00        10848.00        20644.00
  2019          31              9666.00        10832.00        20498.00
  2019          32              9261.00        10255.00        19516.00
  2019          33              9268.00        10102.00        19370.00
  2019          34              9446.00        10100.00        19546.00
  2019          35              9287.00        10084.00        19371.00
  2019          36              9082.00         9600.00        18682.00
  2019          37              8860.00         9707.00        18567.00
  2019          38              8862.00         9379.00        18241.00
  2019          39              8725.00         9359.00        18084.00
  2019          40              8679.00         9183.00        17862.00
  2019          41              8789.00         9502.00        18291.00
  2019          42              8964.00         9350.00        18314.00
  2019          43              8809.00         9305.00        18114.00
  2019          44              8977.00         9143.00        18120.00
  2019          45              8773.00         9238.00        18011.00
  2019          46              9063.00         9385.00        18448.00
  2019          47              9240.00         9467.00        18707.00
  2019          48              9210.00         9117.00        18327.00
  2019          49              9006.00         8848.00        17854.00
  2019          50              8582.00         8542.00        17124.00
  2019          51              8326.00         7867.00        16193.00
  2019          52              8291.00         7993.00        16284.00
  2019          53              8539.00         7912.00        16451.00
  2019          54              8779.00         8274.00        17053.00
  2019          55              8778.00         8227.00        17005.00
  2019          56              9199.00         8471.00        17670.00
  2019          57              9673.00         8478.00        18151.00
  2019          58              9649.00         8424.00        18073.00
  2019          59              9587.00         8233.00        17820.00
  2019          60              9400.00         7908.00        17308.00
  2019          61              9391.00         7665.00        17056.00
  2019          62              9396.00         7402.00        16798.00
  2019          63              9607.00         7601.00        17208.00
  2019          64              9503.00         7233.00        16736.00
  2019          65              8997.00         6780.00        15777.00
  2019          66              9169.00         6680.00        15849.00
  2019          67              9259.00         6335.00        15594.00
  2019          68              8768.00         5954.00        14722.00
  2019          69              9310.00         6092.00        15402.00
  2019          70              8582.00         5470.00        14052.00
  2019          71              8133.00         5204.00        13337.00
  2019          72              7522.00         4505.00        12027.00
  2019          73              5955.00         3462.00         9417.00
  2019          74              5945.00         3326.00         9271.00
  2019          75              5581.00         3181.00         8762.00
  2019          76              6763.00         3602.00        10365.00
  2019          77              7930.00         3939.00        11869.00
  2019          78              6897.00         3325.00        10222.00
  2019          79              7256.00         3209.00        10465.00
  2019          80              6891.00         2894.00         9785.00
  2019          81              6845.00         2783.00         9628.00
  2019          82              5734.00         2352.00         8086.00
  2019          83              5152.00         1945.00         7097.00
  2019          84              4405.00         1543.00         5948.00
  2019          85              4053.00         1424.00         5477.00
  2019          86              4164.00         1308.00         5472.00
  2019          87              3573.00         1195.00         4768.00
  2019          88              3098.00          975.00         4073.00
  2019          89              2759.16          744.08         3503.24
  2019          90              2357.95          593.54         2951.49
  2019          91              1831.73          486.83         2318.56
  2019          92              1392.88          311.17         1704.05
  2019          93              1112.63          206.84         1319.47
  2019          94               763.70          139.12          902.82
  2019          95               617.11          111.41          728.52
  2019          96               371.37           63.22          434.59
  2019          97               237.30           31.09          268.39
  2019          98               124.69           13.81          138.50
  2019          99                73.87            7.49           81.36
  2019         100                46.52            6.06           52.58
  2019         101                20.28            1.78           22.06
  2019         102                11.41            0.57           11.98
  2019         103                 5.69            0.00            5.69
  2019         104                 2.40            0.00            2.40
  2019         105                 0.38            0.00            0.38
  2019         106                 0.00            0.00            0.00
  2019         107                 0.00            0.00            0.00
  2019         108                 0.00            0.00            0.00
  2019         109                 0.00            0.00            0.00
  2019         110+                0.00            0.00            0.00
