Estonia, Population size (1-year)	Last modified: 26 Sep 2025;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  2025           0              4787.00         4939.00         9726.00
  2025           1              5459.00         5634.00        11093.00
  2025           2              5833.00         6209.00        12042.00
  2025           3              6801.00         7180.00        13981.00
  2025           4              6915.00         7174.00        14089.00
  2025           5              7370.00         7632.00        15002.00
  2025           6              7474.00         7838.00        15312.00
  2025           7              7126.00         7685.00        14811.00
  2025           8              7289.00         7958.00        15247.00
  2025           9              7439.00         7799.00        15238.00
  2025          10              7358.00         7590.00        14948.00
  2025          11              7359.00         7567.00        14926.00
  2025          12              7401.00         7767.00        15168.00
  2025          13              7538.00         8011.00        15549.00
  2025          14              8063.00         8533.00        16596.00
  2025          15              8049.00         8272.00        16321.00
  2025          16              8044.00         8448.00        16492.00
  2025          17              7822.00         8222.00        16044.00
  2025          18              7284.00         7990.00        15274.00
  2025          19              7078.00         7750.00        14828.00
  2025          20              7095.00         7306.00        14401.00
  2025          21              6814.00         6678.00        13492.00
  2025          22              6775.00         6714.00        13489.00
  2025          23              6487.00         6729.00        13216.00
  2025          24              6668.00         7028.00        13696.00
  2025          25              6373.00         6643.00        13016.00
  2025          26              6312.00         6560.00        12872.00
  2025          27              6435.00         6877.00        13312.00
  2025          28              6903.00         7276.00        14179.00
  2025          29              7028.00         7346.00        14374.00
  2025          30              7369.00         7577.00        14946.00
  2025          31              7526.00         8248.00        15774.00
  2025          32              8731.00         9354.00        18085.00
  2025          33              8926.00         9676.00        18602.00
  2025          34              9874.00        10876.00        20750.00
  2025          35             10457.00        11541.00        21998.00
  2025          36             10724.00        11617.00        22341.00
  2025          37             10566.00        11581.00        22147.00
  2025          38             10187.00        11035.00        21222.00
  2025          39             10054.00        10910.00        20964.00
  2025          40             10278.00        10763.00        21041.00
  2025          41              9978.00        10846.00        20824.00
  2025          42              9701.00        10098.00        19799.00
  2025          43              9395.00        10107.00        19502.00
  2025          44              9437.00         9834.00        19271.00
  2025          45              9190.00         9760.00        18950.00
  2025          46              9198.00         9530.00        18728.00
  2025          47              9233.00         9784.00        19017.00
  2025          48              9333.00         9526.00        18859.00
  2025          49              9178.00         9427.00        18605.00
  2025          50              9374.00         9258.00        18632.00
  2025          51              9101.00         9297.00        18398.00
  2025          52              9389.00         9400.00        18789.00
  2025          53              9574.00         9449.00        19023.00
  2025          54              9483.00         9067.00        18550.00
  2025          55              9167.00         8738.00        17905.00
  2025          56              8730.00         8449.00        17179.00
  2025          57              8486.00         7708.00        16194.00
  2025          58              8432.00         7745.00        16177.00
  2025          59              8681.00         7570.00        16251.00
  2025          60              8965.00         7949.00        16914.00
  2025          61              8868.00         7848.00        16716.00
  2025          62              9277.00         8127.00        17404.00
  2025          63              9764.00         7912.00        17676.00
  2025          64              9768.00         7817.00        17585.00
  2025          65              9755.00         7651.00        17406.00
  2025          66              9522.00         7322.00        16844.00
  2025          67              9443.00         6937.00        16380.00
  2025          68              9334.00         6647.00        15981.00
  2025          69              9483.00         6706.00        16189.00
  2025          70              9172.00         6192.00        15364.00
  2025          71              8646.00         5677.00        14323.00
  2025          72              8687.00         5562.00        14249.00
  2025          73              8708.00         5178.00        13886.00
  2025          74              8124.00         4729.00        12853.00
  2025          75              8483.00         4761.00        13244.00
  2025          76              7763.00         4223.00        11986.00
  2025          77              7247.00         3977.00        11224.00
  2025          78              6575.00         3325.00         9900.00
  2025          79              5176.00         2462.00         7638.00
  2025          80              5024.00         2268.00         7292.00
  2025          81              4650.00         2178.00         6828.00
  2025          82              5439.00         2352.00         7791.00
  2025          83              6189.00         2521.00         8710.00
  2025          84              5248.00         1986.00         7234.00
  2025          85              5271.00         1850.00         7121.00
  2025          86              4740.00         1531.00         6271.00
  2025          87              4477.00         1435.00         5912.00
  2025          88              3556.00         1143.00         4699.00
  2025          89              2966.00          806.00         3772.00
  2025          90              2352.78          613.98         2966.76
  2025          91              1890.33          533.65         2423.98
  2025          92              1838.35          433.55         2271.90
  2025          93              1390.23          348.29         1738.52
  2025          94              1031.92          260.98         1292.90
  2025          95               814.04          151.97          966.01
  2025          96               596.71          102.67          699.38
  2025          97               375.36           55.78          431.14
  2025          98               231.60           29.59          261.19
  2025          99               129.70           15.51          145.21
  2025         100                71.36            5.86           77.22
  2025         101                40.22            2.63           42.85
  2025         102                17.86            0.50           18.36
  2025         103                 7.28            0.00            7.28
  2025         104                 2.50            0.00            2.50
  2025         105                 0.81            0.00            0.81
  2025         106                 0.00            0.00            0.00
  2025         107                 0.00            0.00            0.00
  2025         108                 0.00            0.00            0.00
  2025         109                 0.00            0.00            0.00
  2025         110+                0.00            0.00            0.00
